scenario,seed,sensor,alpha,target_expert,drift_reliability,drift_modulation_factor,coord_threshold_v75,coord_threshold_v73,single_action,reliability_spike,reliability_drift,reliability_flat,reliability_dropout,coef_v75_spike,coef_v75_drift,coef_v75_flat,coef_v75_dropout
high,321,sensor_507_multivar_labeled,0.6,drift,0.4200785782392711,0.7680314312957084,0.9,0.9,flat_std_w18,0.7696768140381353,0.4200785782392711,0.1960902255639098,0.1954887218045113,2.9034446679205046,0.2405693459180812,3.055569091727394,-0.152315092434102
high,321,sensor_508_multivar_labeled,0.6,drift,0.4043050375230306,0.7617220150092122,0.525,0.575,flat_std_w18,0.8875277085961911,0.4043050375230306,0.1973704563031709,0.1927300850734725,2.6269053825832995,0.665401502495375,1.5812340384795895,1.040816038084616
high,321,sensor_509_multivar_labeled,0.6,drift,0.4093442503524837,0.7637377001409935,0.95,0.95,flat_std_w18,0.8637418014815316,0.4093442503524837,0.1969633263256248,0.1956318617145526,4.038034520553182,0.6448703610486619,3.550817849490734,0.0286552661398658
high,321,sensor_510_multivar_labeled,0.6,drift,0.1998751950078003,0.6799500780031201,0.9,0.9,flat_std_w36,0.9416731100681,0.1998751950078003,0.181996879875195,0.8228236452125801,6.317886129907571,2.770333940135896,8.31856517724851,-1.7424779958912815
high,321,sensor_511_multivar_labeled,0.6,drift,0.425268736372594,0.7701074945490376,0.725,0.725,dropout_w24,0.8948623327096423,0.425268736372594,0.5669754488728491,0.1956393200295639,2.9571607510994204,0.6655912460670264,0.3320353170148095,3.157383156076273
high,42,sensor_501_multivar_labeled,0.6,drift,0.4143802727518962,0.7657521091007584,0.475,0.475,flat_std_w18,0.8540739744355712,0.4143802727518962,0.191214953271028,0.1910576096302665,3.3820646988320937,-0.048824789294551,3.643207515606588,-1.3469070860234642
high,42,sensor_502_multivar_labeled,0.6,drift,0.2,0.6799999999999999,0.5499999999999999,0.5499999999999999,flat_std_w18,0.6907772258392657,0.2,0.1967617579028527,0.4371926126085202,2.56567219416564,-0.0916128764232782,-2.0551197421091043,4.065365668792981
high,42,sensor_505_multivar_labeled,0.6,drift,0.1719484457922668,0.6687793783169067,0.525,0.525,dropout_w24,0.757091888345969,0.1719484457922668,0.1896210873146623,0.8086750373165758,2.50727138549866,0.6520032616947182,-1.2682005537763608,3.392154984100612
high,42,sensor_506_multivar_labeled,0.6,drift,0.4154533266882622,0.7661813306753049,0.5499999999999999,0.5499999999999999,dropout_w24,0.8316495574724799,0.4154533266882622,0.4581975924150537,0.1984812778214192,3.318711509675208,2.4727884830233124,-0.9387373692359778,4.037837311877506
high,42,sensor_507_multivar_labeled,0.6,drift,0.450960529779147,0.7803842119116589,0.675,0.675,dropout_w24,0.668654720026141,0.450960529779147,0.4858362658005151,0.1948872180451127,2.835382183087209,0.5226788144944542,1.0779941755820857,1.1846149749976234
high,42,sensor_508_multivar_labeled,0.6,drift,0.1808197989172467,0.6723279195668986,0.775,0.775,flat_std_w18,0.874368451079051,0.1808197989172467,0.1950502706883217,0.512625485291837,2.179821063327435,-0.137941033985471,2.45902792882437,0.0821217062813854
high,42,sensor_509_multivar_labeled,0.6,drift,0.4040534440086011,0.7616213776034404,0.95,0.95,flat_std_w36,0.8305849239148841,0.4040534440086011,0.1955384256014949,0.1945573464143891,3.365217891409329,2.28253927907211,3.505035141958658,0.0822501504437224
high,42,sensor_510_multivar_labeled,0.6,drift,0.4110052694307495,0.7644021077722998,0.725,0.775,flat_std_w36,0.8387236424093911,0.4110052694307495,0.4655787571257399,0.8267661905944994,4.291368752887145,2.5131480640781283,1.7361747570475294,1.719581538953059
high,42,sensor_511_multivar_labeled,0.6,drift,0.4304292122943579,0.7721716849177431,0.35,0.3749999999999999,dropout_w24,0.9043466209644964,0.4304292122943579,0.1818181818181818,0.196230598669623,2.9651845769549805,0.9557241469694522,-0.1308246045041241,3.9474942316056407
high,777,sensor_501_multivar_labeled,0.6,drift,0.2,0.6799999999999999,0.7999999999999999,0.7999999999999999,flat_std_w18,0.9310250024622078,0.2,0.8191086150785435,0.8179245499329992,3.251061742642248,2.223148644793509,3.7075999763459406,-0.5769330220330043
high,777,sensor_502_multivar_labeled,0.6,drift,0.4144461707751343,0.7657784683100537,0.875,0.875,flat_std_w18,0.7703835143233797,0.4144461707751343,0.1981495759444873,0.1959907478797224,2.512553624785794,0.2470348896536699,-1.7697326429853124,3.983408675463927
high,777,sensor_505_multivar_labeled,0.6,drift,0.1987364620938628,0.6794945848375451,0.575,0.575,z_w21_t3,0.643456616907415,0.1987364620938628,0.4240478262604256,0.8373311072233418,2.873417391463697,2.2378752713384307,-0.9616379702189938,3.1683725330711394
high,777,sensor_506_multivar_labeled,0.6,drift,0.1704634721131186,0.6681853888452475,0.725,0.725,low_range_w24,0.8391782276804836,0.1704634721131186,0.1720345640219953,0.9497314551079514,3.433328787706881,0.6926700232476424,3.237327549475093,-0.9577093699271624
high,777,sensor_507_multivar_labeled,0.6,drift,0.3837336263970955,0.7534934505588382,0.75,0.75,dropout_w12,0.6938974058891818,0.3837336263970955,0.1895424836601307,0.7643107176876083,2.3465582197401456,1.9528664358298415,2.24409853059377,-0.0166717474312881
high,777,sensor_508_multivar_labeled,0.6,drift,0.4069732451929267,0.7627892980771707,0.65,0.65,flat_std_w18,0.7628673043957291,0.4069732451929267,0.7347608786176896,0.803731150302506,2.675418687617513,1.827275789787548,2.1280005169551206,-0.7559487440029429
high,777,sensor_509_multivar_labeled,0.6,drift,0.4263713364643606,0.7705485345857442,0.2249999999999999,0.2249999999999999,flat_std_w18,0.923827664198617,0.4263713364643606,0.1977108152300864,0.19614576033637,4.016127041430689,1.7864455146743146,5.1843713845547645,-0.5073830790497249
high,777,sensor_510_multivar_labeled,0.6,drift,0.1803744149765991,0.6721497659906396,0.65,0.65,dropout_w24,0.8860856547609165,0.1803744149765991,0.6176811411992937,0.8138467902825719,2.3152736054627607,0.5168308123411827,-0.3546594579978898,2.255316485561988
high,777,sensor_511_multivar_labeled,0.6,drift,0.1855875831485587,0.6742350332594235,0.9,0.9,flat_std_w18,0.8718456261667575,0.1855875831485587,0.1855875831485587,0.8521363500963084,2.6401974890719715,1.4012942116322429,2.531546494208617,1.378531226554976
high,999,sensor_501_multivar_labeled,0.6,drift,0.1809114359415305,0.6723645743766122,0.575,0.575,flat_std_w36,0.7132954516366241,0.1809114359415305,0.1707267144319345,0.7529779226524986,2.130392828820112,1.345765379559245,2.36905597120883,-0.9194210812641828
high,999,sensor_502_multivar_labeled,0.6,drift,0.1723978411719352,0.668959136468774,0.625,0.625,flat_std_w18,0.7696491329766012,0.1723978411719352,0.4339697216992315,0.1967617579028527,2.5055532483840226,-0.2783083749997883,2.81597323239056,0.1866570114032084
high,999,sensor_505_multivar_labeled,0.6,drift,0.1719484457922668,0.6687793783169067,0.875,0.875,flat_std_w18,0.7499023458623088,0.1719484457922668,0.176800606520091,0.847710432957491,2.389561831952349,2.2704250899804257,4.384102243487369,-2.0737663827746964
