scenario,seed,sensor,ablation,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward
high,777,sensor_501_multivar_labeled,without_drift,11,1335,29,370,0.7713467048710602,0.275,0.0288713910761154,0.0522565320665083,0.0212609970674486,0.9711286089238844,0.9787390029325512,0.5038051970043335,0.0210079960702989,0.0713007570460185
high,777,sensor_501_multivar_labeled,without_flat,28,1249,115,353,0.7318051575931233,0.1958041958041958,0.0734908136482939,0.1068702290076335,0.0843108504398826,0.926509186351706,0.9156891495601172,0.4945899816042056,-0.0162966799263364,0.0910783914745644
high,777,sensor_501_multivar_labeled,without_dropout,5,1352,12,376,0.7776504297994269,0.2941176470588235,0.0131233595800524,0.0251256281407035,0.0087976539589442,0.9868766404199476,0.9912023460410556,0.5021628528105541,0.0181940885526092,0.0584814222002614
high,777,sensor_502_multivar_labeled,full,98,1452,90,307,0.7960965588084232,0.5212765957446809,0.2419753086419753,0.3305227655986509,0.0583657587548638,0.7580246913580246,0.9416342412451362,0.5918047749435558,0.25232083898704,0.2936827505982012
high,777,sensor_502_multivar_labeled,without_spike,105,1435,107,300,0.7909604519774012,0.4952830188679245,0.2592592592592592,0.3403565640194489,0.0693904020752269,0.7407407407407407,0.930609597924773,0.5949344285920162,0.2474034575945625,0.2982916442091957
high,777,sensor_502_multivar_labeled,without_drift,99,1452,90,306,0.7966101694915254,0.5238095238095238,0.2444444444444444,0.3333333333333333,0.0583657587548638,0.7555555555555555,0.9416342412451362,0.5930393428447903,0.2551091236649146,0.2960681860292755
high,777,sensor_502_multivar_labeled,without_flat,17,1538,4,388,0.7986646122239343,0.8095238095238095,0.0419753086419753,0.0798122065727699,0.0025940337224383,0.9580246913580248,0.9974059662775616,0.5196906374597685,0.1547468015817762,0.1696772536066666
high,777,sensor_502_multivar_labeled,without_dropout,29,1535,7,376,0.8032871083718541,0.8055555555555556,0.0716049382716049,0.1315192743764172,0.0045395590142671,0.928395061728395,0.9954604409857328,0.5335326896286688,0.202062857083174,0.2010445323827758
high,777,sensor_505_multivar_labeled,full,166,1341,120,354,0.7607269056032306,0.5804195804195804,0.3192307692307692,0.4119106699751861,0.082135523613963,0.6807692307692308,0.917864476386037,0.618547622808403,0.2968122063573443,0.3599784169596052
high,777,sensor_505_multivar_labeled,without_spike,192,1215,246,328,0.7102473498233216,0.4383561643835616,0.3692307692307692,0.4008350730688935,0.1683778234086242,0.6307692307692307,0.8316221765913757,0.6004264729110724,0.2129535906651288,0.3400606559669046
high,777,sensor_505_multivar_labeled,without_drift,151,1346,115,369,0.7556789500252398,0.5676691729323309,0.2903846153846154,0.3842239185750636,0.0787132101300479,0.7096153846153846,0.921286789869952,0.6058357026272837,0.2731593636425005,0.3372952029010081
high,777,sensor_505_multivar_labeled,without_flat,166,1347,114,354,0.7637556789500253,0.5928571428571429,0.3192307692307692,0.415,0.0780287474332648,0.6807692307692308,0.9219712525667352,0.6206010108987521,0.3046327220364195,0.3636449274544757
high,777,sensor_505_multivar_labeled,without_dropout,128,1439,22,392,0.7910146390711762,0.8533333333333334,0.2461538461538461,0.3820895522388059,0.0150581793292265,0.7538461538461538,0.9849418206707734,0.6155478334123098,0.384351677064575,0.3722806344206938
high,777,sensor_506_multivar_labeled,full,56,4895,171,607,0.8641996858090417,0.2466960352422907,0.0844645550527903,0.1258426966292135,0.0337544413738649,0.9155354449472096,0.966245558626135,0.5253550568394627,0.0831592797918722,0.1155975411479403
high,777,sensor_506_multivar_labeled,without_spike,9,4952,114,654,0.865945191132833,0.073170731707317,0.0135746606334841,0.0229007633587786,0.0225029609159099,0.986425339366516,0.97749703908409,0.495535849858787,-0.0197051181325346,0.0231030553660021
high,777,sensor_506_multivar_labeled,without_drift,55,4947,119,608,0.873101762960377,0.3160919540229885,0.0829562594268476,0.1314217443249701,0.023489932885906,0.9170437405731524,0.976510067114094,0.5297331632704708,0.1108520713098793,0.1290914625891485
high,777,sensor_506_multivar_labeled,without_flat,60,5002,64,603,0.8835747949031244,0.4838709677419355,0.090497737556561,0.1524777636594663,0.0126332412159494,0.9095022624434388,0.9873667587840506,0.5389322481703058,0.1711709987233785,0.1670816359534235
high,777,sensor_506_multivar_labeled,without_dropout,50,4973,93,613,0.8767673241403386,0.3496503496503496,0.0754147812971342,0.1240694789081885,0.0183576786419265,0.9245852187028658,0.9816423213580734,0.5285285513276038,0.1169985789885074,0.1290674844811849
high,777,sensor_507_multivar_labeled,full,91,1554,47,305,0.8237356034051077,0.6594202898550725,0.2297979797979798,0.3408239700374532,0.0293566520924422,0.7702020202020202,0.9706433479075578,0.6002206638527688,0.3151020957205633,0.3182875587252645
high,777,sensor_507_multivar_labeled,without_spike,88,1546,55,308,0.8182273410115173,0.6153846153846154,0.2222222222222222,0.326530612244898,0.0343535290443472,0.7777777777777778,0.9656464709556528,0.5939343465889375,0.2905191666324549,0.3024777815801283
