scenario,seed,sensor,method,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
low,42,sensor_506_multivar_labeled,v75_selective_coordinator,108,5442,140,39,0.9687554547041368,0.4354838709677419,0.7346938775510204,0.5468354430379747,0.0250806162665711,0.2653061224489796,0.9749193837334288,0.8548066306422246,0.551340080112984,0.529298631650899,0.9396328578009492,0.5233249292107824,19,0.7894736842105263,0.3404255319148936,0.8,0.0,0.7894736842105263
low,42,sensor_506_multivar_labeled,v75_selective_hybrid,108,5416,166,39,0.9642171408622796,0.3941605839416058,0.7346938775510204,0.513064133016627,0.0297384450017914,0.2653061224489796,0.9702615549982084,0.8524777162746144,0.5223271327478878,0.50743726621385,0.9356806499023832,0.3750931752251336,19,0.7894736842105263,0.32,0.8,0.0,0.7894736842105263
low,42,sensor_507_multivar_labeled,single_agent_rl_refactored,33,1402,499,63,0.7185778668002003,0.0620300751879699,0.34375,0.1050955414012738,0.262493424513414,0.65625,0.737506575486586,0.5406282877432931,0.039319733148007,0.1334731624574273,0.540628287743293,0.0528701593273368,8,0.875,0.0944881889763779,0.8571428571428571,0.0,0.875
low,42,sensor_507_multivar_labeled,or_all,19,1569,332,77,0.7951927891837757,0.0541310541310541,0.1979166666666666,0.0850111856823266,0.1746449237243556,0.8020833333333334,0.8253550762756444,0.5116358714711555,0.0130793786354525,0.0882851993042695,0.5116358714711555,0.0492712745519038,8,0.75,0.1011235955056179,7.166666666666667,0.0,0.5
low,42,sensor_507_multivar_labeled,majority,2,1860,41,94,0.9323985978968452,0.0465116279069767,0.0208333333333333,0.0287769784172661,0.0215675960021041,0.9791666666666666,0.978432403997896,0.4996328686656146,-0.0010821354287626,0.0240196248736058,0.4996328686656145,0.0480395981569253,8,0.25,0.2857142857142857,0.0,0.0,0.25
low,42,sensor_507_multivar_labeled,v73_confidence_hybrid_reference,3,1849,52,93,0.927391086629945,0.0545454545454545,0.03125,0.0397350993377483,0.0273540241977906,0.96875,0.9726459758022094,0.5019479879011046,0.0050925695418548,0.0327022104640258,0.4583305935472557,0.0491175509001544,8,0.375,0.2727272727272727,2.333333333333333,0.0,0.25
low,42,sensor_507_multivar_labeled,v75_selective_coordinator,2,1898,3,94,0.9514271407110666,0.4,0.0208333333333333,0.0396039603960396,0.0015781167806417,0.9791666666666666,0.9984218832193582,0.5096276082763458,0.0824224297404114,0.0839139705001536,0.4704240092933543,0.0684485187161659,8,0.25,0.4,0.0,0.0,0.25
low,42,sensor_507_multivar_labeled,v75_selective_hybrid,3,1849,52,93,0.927391086629945,0.0545454545454545,0.03125,0.0397350993377483,0.0273540241977906,0.96875,0.9726459758022094,0.5019479879011046,0.0050925695418548,0.0327022104640258,0.4552209363492897,0.0481954897340018,8,0.375,0.2727272727272727,2.333333333333333,0.0,0.25
low,42,sensor_508_multivar_labeled,single_agent_rl_refactored,12,1814,22,93,0.9407521895929932,0.3529411764705882,0.1142857142857142,0.1726618705035971,0.0119825708061002,0.8857142857142857,0.9880174291938998,0.551151571739807,0.1764026729255638,0.1637264754023112,0.5511515717398071,0.0882495811307521,7,0.1428571428571428,0.3333333333333333,6.0,6.0,0.0
low,42,sensor_508_multivar_labeled,or_all,31,1610,226,74,0.8454404945904173,0.1206225680933852,0.2952380952380952,0.1712707182320441,0.1230936819172113,0.7047619047619048,0.8769063180827886,0.5860722066604419,0.1148910809846301,0.171427268798135,0.5860722066604419,0.0737370552476488,7,0.7142857142857143,0.1232876712328767,1.8,0.0,0.7142857142857143
low,42,sensor_508_multivar_labeled,majority,11,1806,30,94,0.9361154044307058,0.2682926829268293,0.1047619047619047,0.1506849315068493,0.0163398692810457,0.8952380952380953,0.9836601307189542,0.5442110177404295,0.1390986026830571,0.1378467061175734,0.5442110177404295,0.0765354975254323,7,0.1428571428571428,0.4,0.0,0.0,0.1428571428571428
low,42,sensor_508_multivar_labeled,v73_confidence_hybrid_reference,30,1533,303,75,0.8052550231839258,0.09009009009009,0.2857142857142857,0.136986301369863,0.1650326797385621,0.7142857142857143,0.8349673202614379,0.5603408029878618,0.0724113976229018,0.1443683668703813,0.5827731092436976,0.0798290841092838,7,0.8571428571428571,0.087719298245614,1.5,0.0,0.8571428571428571
low,42,sensor_508_multivar_labeled,v75_selective_coordinator,26,1602,234,79,0.8387429160226687,0.1,0.2476190476190476,0.1424657534246575,0.1274509803921568,0.7523809523809524,0.8725490196078431,0.5600840336134454,0.0798085707518104,0.1406502052875944,0.5835875090777053,0.0809234531595361,7,0.8571428571428571,0.0970873786407767,1.5,0.0,0.8571428571428571
low,42,sensor_508_multivar_labeled,v75_selective_hybrid,26,1602,234,79,0.8387429160226687,0.1,0.2476190476190476,0.1424657534246575,0.1274509803921568,0.7523809523809524,0.8725490196078431,0.5600840336134454,0.0798085707518104,0.1406502052875944,0.5835875090777052,0.0809234531595361,7,0.8571428571428571,0.0970873786407767,1.5,0.0,0.8571428571428571
low,42,sensor_509_multivar_labeled,single_agent_rl_refactored,132,11263,1078,372,0.8871156091864538,0.109090909090909,0.2619047619047619,0.1540256709451575,0.0873511060692002,0.7380952380952381,0.9126488939307996,0.5872768279177808,0.1160228460331539,0.1555115062534658,0.5872768279177808,0.0575321136629038,36,0.0833333333333333,0.0289855072463768,23.666666666666668,8.0,0.0833333333333333
low,42,sensor_509_multivar_labeled,or_all,183,10852,1489,321,0.8590891397430906,0.1094497607655502,0.3630952380952381,0.1681985294117647,0.1206547281419658,0.6369047619047619,0.8793452718580342,0.6212202549766361,0.1398919091868911,0.1889699009645014,0.6212202549766362,0.0647309555316331,36,0.9166666666666666,0.1225071225071225,0.8787878787878788,0.0,0.9166666666666666
