scenario,seed,sensor,expert,threshold,best_action,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
medium,123,sensor_510_multivar_labeled,spike,0.85,z_w21_t3,51,9558,1,6,0.9992720465890182,0.9807692307692308,0.8947368421052632,0.9357798165137614,0.00010461345329,0.1052631578947368,0.99989538654671,0.9473161143259864,0.9364115083052904,0.8366268933328272,0.987658365497382,0.956709497373896,57,0.8947368421052632,0.9807692307692308,0.0,0.0,0.8947368421052632
medium,123,sensor_510_multivar_labeled,drift,0.25,ewma_s48_w96_t2.2,0,9096,520,0,0.9459234608985024,0.0,0.0,0.0,0.0540765391014975,0.0,0.9459234608985024,0.4729617304492512,0.0,-0.0054076539101497,,,0,,,,,
medium,123,sensor_510_multivar_labeled,flat,0.6,flat_std_w36,2,8782,578,254,0.913477537437604,0.0034482758620689,0.0078125,0.0047846889952153,0.0617521367521367,0.9921875,0.9382478632478632,0.4730301816239316,-0.0364723558551869,-0.0011611122480564,0.479204852764423,0.0257851582602924,1,1.0,0.0227272727272727,77.0,77.0,0.0
medium,123,sensor_510_multivar_labeled,dropout,0.85,dropout_w24,0,9344,272,0,0.9717138103161398,0.0,0.0,0.0,0.0282861896838602,0.0,0.9717138103161398,0.4858569051580699,0.0,-0.002828618968386,,,0,,,,,
medium,123,sensor_511_multivar_labeled,spike,0.875,z_w21_t3,17,4037,0,7,0.9982762866289092,1.0,0.7083333333333334,0.8292682926829268,0.0,0.2916666666666667,1.0,0.8541666666666667,0.8408966863170633,0.7356707317073171,0.9745840558170258,0.827190775120418,24,0.7083333333333334,1.0,0.0,0.0,0.7083333333333334
medium,123,sensor_511_multivar_labeled,drift,0.05,ewma_s48_w96_t2.2,0,3367,694,0,0.8291061314947057,0.0,0.0,0.0,0.1708938685052942,0.0,0.8291061314947057,0.4145530657473528,0.0,-0.0170893868505294,,,0,,,,,
medium,123,sensor_511_multivar_labeled,flat,0.65,flat_std_w18,0,3901,160,0,0.9606008372322088,0.0,0.0,0.0,0.0393991627677911,0.0,0.9606008372322088,0.4803004186161044,0.0,-0.0039399162767791,,,0,,,,,
medium,123,sensor_511_multivar_labeled,dropout,0.775,dropout_w24,0,3982,79,0,0.9805466633834032,0.0,0.0,0.0,0.0194533366165968,0.0,0.9805466633834032,0.4902733316917015,0.0,-0.0019453336616596,,,0,,,,,
medium,321,sensor_501_multivar_labeled,spike,0.7999999999999999,z_w21_t3,5,1737,1,2,0.9982808022922636,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0005753739930955,0.2857142857142857,0.9994246260069044,0.8568551701463094,0.7706735939793481,0.6853820230402509,0.968231135952655,0.5612978524743231,7,0.7142857142857143,0.8333333333333334,0.0,0.0,0.7142857142857143
medium,321,sensor_501_multivar_labeled,drift,0.775,mean_shift_12_72,0,1629,0,116,0.9335243553008596,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.479842721364916,0.0647261996882138,2,0.0,0.0,,,0.0
medium,321,sensor_501_multivar_labeled,flat,0.75,flat_std_w18,0,1739,6,0,0.9965616045845272,0.0,0.0,0.0,0.0034383954154727,0.0,0.9965616045845272,0.4982808022922636,0.0,-0.0003438395415472,,,0,,,,,
medium,321,sensor_501_multivar_labeled,dropout,0.5499999999999999,dropout_w24,0,1714,31,0,0.9822349570200573,0.0,0.0,0.0,0.0177650429799426,0.0,0.9822349570200573,0.4911174785100286,0.0,-0.0017765042979942,,,0,,,,,
medium,321,sensor_502_multivar_labeled,spike,0.825,z_w21_t3,8,1930,0,9,0.99537750385208,1.0,0.4705882352941176,0.6399999999999999,0.0,0.5294117647058824,1.0,0.7352941176470589,0.6844004442469548,0.5791764705882353,0.9408259676927766,0.6014951584139122,17,0.4705882352941176,1.0,0.0,0.0,0.4705882352941176
medium,321,sensor_502_multivar_labeled,drift,0.775,mean_shift_12_72,0,1922,0,25,0.9871597329224449,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5033922996878252,0.0132473628066848,1,0.0,0.0,,,0.0
medium,321,sensor_502_multivar_labeled,flat,0.7,flat_std_w18,0,1869,78,0,0.9599383667180276,0.0,0.0,0.0,0.0400616332819722,0.0,0.9599383667180276,0.4799691833590138,0.0,-0.0040061633281972,,,0,,,,,
medium,321,sensor_502_multivar_labeled,dropout,0.7999999999999999,dropout_w24,0,1845,102,0,0.9476117103235748,0.0,0.0,0.0,0.0523882896764252,0.0,0.9476117103235748,0.4738058551617873,0.0,-0.0052388289676425,,,0,,,,,
medium,321,sensor_505_multivar_labeled,spike,0.725,z_w21_t3,6,1973,0,2,0.9989904088844018,1.0,0.75,0.8571428571428571,0.0,0.25,1.0,0.875,0.8655867988417533,0.7607142857142857,0.9043968575772934,0.7530707779624912,8,0.75,1.0,0.0,0.0,0.75
medium,321,sensor_505_multivar_labeled,drift,0.75,slope_w36_t2.2,0,1960,21,0,0.9893992932862192,0.0,0.0,0.0,0.0106007067137809,0.0,0.9893992932862192,0.4946996466431095,0.0,-0.001060070671378,,,0,,,,,
medium,321,sensor_505_multivar_labeled,flat,0.7999999999999999,flat_std_w18,31,1926,3,21,0.9878849066128218,0.9117647058823528,0.5961538461538461,0.7209302325581395,0.0015552099533437,0.4038461538461538,0.9984447900466564,0.7972993181002512,0.7319295145076997,0.6398739433843352,0.90487797583443,0.6461277337156084,1,1.0,0.5,4.0,4.0,1.0
medium,321,sensor_505_multivar_labeled,dropout,0.75,dropout_w24,21,1937,5,18,0.9883897021706208,0.8076923076923077,0.5384615384615384,0.6461538461538461,0.0025746652935118,0.4615384615384615,0.9974253347064882,0.7679434365840133,0.6541389060932675,0.5732040719321871,0.9814756132984764,0.7537225922538566,1,1.0,0.3333333333333333,10.0,10.0,0.0
medium,321,sensor_506_multivar_labeled,spike,0.7999999999999999,z_w21_t3,26,5693,4,6,0.9982544946762087,0.8666666666666667,0.8125,0.8387096774193549,0.0007021239248727,0.1875,0.9992978760751272,0.9058989380375636,0.8382741110413825,0.7510991424462224,0.9431115060558188,0.7456465254079319,32,0.8125,0.8666666666666667,0.0,0.0,0.8125
medium,321,sensor_506_multivar_labeled,drift,0.775,ewma_s48_w96_t2.2,0,5411,13,305,0.9444929307034386,0.0,0.0,0.0,0.0023967551622418,1.0,0.997603244837758,0.498801622418879,-0.0113087771333855,-0.0002396755162241,0.497351177523091,0.0536867186327032,1,0.0,0.0,,,0.0
medium,321,sensor_506_multivar_labeled,flat,0.3749999999999999,low_range_w24,278,4576,849,26,0.8472682841682667,0.2466725820763088,0.9144736842105264,0.3885394828791055,0.1564976958525345,0.0855263157894736,0.8435023041474654,0.8789879941789959,0.4274219741466226,0.4705359902849482,0.9333052389037108,0.539505525831416,2,1.0,0.056338028169014,4.5,4.5,1.0
medium,321,sensor_506_multivar_labeled,dropout,0.775,dropout_w24,92,5548,67,22,0.984465002618258,0.5786163522012578,0.8070175438596491,0.673992673992674,0.0119323241317898,0.1929824561403508,0.9880676758682102,0.8975426098639296,0.6759503953889304,0.6310011868716077,0.9390565684023058,0.5044741714920118,1,1.0,0.1111111111111111,11.0,11.0,1.0
medium,321,sensor_507_multivar_labeled,spike,0.725,z_w21_t3,10,1979,2,6,0.9959939909864796,0.8333333333333334,0.625,0.7142857142857143,0.0010095911155981,0.375,0.9989904088844018,0.811995204442201,0.719795728174826,0.6338276123170116,0.8922103735487128,0.5842255558470129,16,0.625,0.8333333333333334,0.0,0.0,0.625
medium,321,sensor_507_multivar_labeled,drift,0.7,mean_shift_12_72,0,1992,5,0,0.9974962443665498,0.0,0.0,0.0,0.0025037556334501,0.0,0.9974962443665498,0.4987481221832749,0.0,-0.000250375563345,,,0,,,,,
